accident_year,accident_time,weather,road_status,road_type,accident_classification,accident_nature,accident_reason,city,zone,street,accident_severity,death_count,birth_year_of_accident_perpetr,nationality_group_of_accident,total
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,25.0,330.0,SIMPLE,0,1991,ASIA,2
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,027,91.0,-1.0,SIMPLE,0,1970,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,31.0,857.0,SIMPLE,0,1990,QATAR,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,OTHER,002,74.0,-1.0,SIMPLE,0,1,,1
2020-01-01,8PM,,,,COLLISION,,DRUNK,027,91.0,299.0,SIMPLE,0,1979,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,53.0,616.0,SIMPLE,0,1989,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,66.0,700.0,SIMPLE,0,2001,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,029,70.0,912.0,SIMPLE,0,1980,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,52.0,745.0,SIMPLE,0,1987,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,47.0,270.0,SIMPLE,0,1993,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,63.0,391.0,SIMPLE,0,1987,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,56.0,637.0,SIMPLE,0,1966,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,66.0,-1.0,SIMPLE,0,1982,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,55.0,224.0,SIMPLE,0,1988,ARABI,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,36.0,-1.0,SIMPLE,0,1992,ARABI,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,90.0,987.0,SIMPLE,0,1993,ASIA,1
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,001,35.0,938.0,,0,0,,1
2020-01-01,8PM,,,INTERNAL,COUP,INVERSION,,001,40.0,340.0,LIGHT INJURY,0,1990,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,55.0,340.0,SIMPLE,0,1982,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,61.0,-1.0,SIMPLE,0,1955,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,008,71.0,620.0,SIMPLE,0,1997,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,51.0,253.0,SIMPLE,0,1984,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,40.0,250.0,SIMPLE,0,1999,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,55.0,251.0,SIMPLE,0,1998,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,26.0,875.0,SIMPLE,0,1983,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,56.0,-1.0,SIMPLE,0,1995,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,58.0,995.0,SIMPLE,0,1977,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,63.0,905.0,SIMPLE,0,1969,QATAR,1
